locality,region,locality_square,locality_population_density
xã an khánh,hà nội,"28,69",3.56
xã an long,hồ chí minh,"100,05",179.0
xã an nhơn tây,hồ chí minh,"77,69",526.0
xã an thới đông,hồ chí minh,"257,84",71.0
xã bà điểm,hồ chí minh,"27,36",7.026
xã ba vì,hà nội,"81,27",328.0
xã bát tràng,hà nội,"20,67",2.37
xã bàu bàng,hồ chí minh,"84,09",502.0
xã bàu lâm,hồ chí minh,"123,83",182.0
xã bắc tân uyên,hồ chí minh,"143,69",195.0
xã bất bạt,hà nội,"56,43",710.0
xã bình chánh,hồ chí minh,"21,33",3.572
xã bình châu,hồ chí minh,"87,06",299.0
xã bình giã,hồ chí minh,"66,96",512.0
xã bình hưng,hồ chí minh,"32,40",5.665
xã bình khánh,hồ chí minh,"158,28",198.0
xã bình lợi,hồ chí minh,"54,17",871.0
xã bình minh,hà nội,"29,86",2.681
xã bình mỹ,hồ chí minh,"54,43",1.831
xã cần giờ,hồ chí minh,"157,01",140.0
xã châu đức,hồ chí minh,"84,66",334.0
xã châu pha,hồ chí minh,"65,64",388.0
xã chuyên mỹ,hà nội,"35,54",1.262
xã chương dương,hà nội,"28,89",2.076
xã cổ đô,hà nội,"53,26",1.328
xã củ chi,hồ chí minh,"64,87",1.983
xã dân hòa,hà nội,"38,44",1.633
xã dầu tiếng,hồ chí minh,"182,69",214.0
xã dương hòa,hà nội,"17,41",3.379
xã đa phúc,hà nội,"55,32",1.512
xã đại thanh,hà nội,"18,92",4.892
xã đại xuyên,hà nội,"51,66",1.45
xã đan phượng,hà nội,"15,30",3.113
xã đất đỏ,hồ chí minh,"119,77",366.0
xã đoài phương,hà nội,"57,10",698.0
xã đông anh,hà nội,"48,68",2.428
xã đông thạnh,hồ chí minh,"30,17",6.223
xã gia lâm,hà nội,"25,72",3.519
xã hạ bằng,hà nội,"32,14",1.205
xã hát môn,hà nội,"37,67",1.917
xã hiệp phước,hồ chí minh,"63,33",1.166
xã hòa hiệp,hồ chí minh,"99,28",262.0
xã hòa hội,hồ chí minh,"136,27",265.0
xã hòa lạc,hà nội,"35,37",588.0
xã hòa phú,hà nội,"29,88",1.672
xã hòa xá,hà nội,"40,42",1.718
xã hoài đức,hà nội,"16,73",4.139
xã hóc môn,hồ chí minh,"16,43",5.395
xã hồ tràm,hồ chí minh,"94,51",549.0
xã hồng sơn,hà nội,"54,39",1.161
xã hồng vân,hà nội,"24,53",2.392
xã hưng đạo,hà nội,"24,90",1.982
xã hưng long,hồ chí minh,"35,54",2.012
xã hương sơn,hà nội,"69,11",762.0
xã kiều phú,hà nội,"34,54",1.763
xã kim anh,hà nội,"52,80",920.0
xã kim long,hồ chí minh,"63,92",522.0
xã liên minh,hà nội,"23,57",2.027
xã long điền,hồ chí minh,"51,44",934.0
xã long hải,hồ chí minh,"27,93",3.908
xã long hòa,hồ chí minh,"166,76",151.0
xã long sơn,hồ chí minh,"56,50",314.0
xã mê linh,hà nội,"24,07",2.871
xã minh châu,hà nội,"10,35",642.0
xã minh thạnh,hồ chí minh,"159,06",152.0
xã mỹ đức,hà nội,"52,73",1.017
xã nam phù,hà nội,"13,74",3.113
xã ngãi giao,hồ chí minh,"69,30",708.0
xã nghĩa thành,hồ chí minh,"65,67",424.0
xã ngọc hồi,hà nội,"13,34",3.288
xã nhà bè,hồ chí minh,"37,10",4.219
xã nhuận đức,hồ chí minh,"62,05",648.0
xã nội bài,hà nội,"51,64",1.365
xã ô diên,hà nội,"32,06",3.041
xã phú cát,hà nội,"51,21",846.0
xã phù đổng,hà nội,"41,62",2.679
xã phú giáo,hồ chí minh,"192,83",222.0
